raw_row_number,date,time,location,district,service_area,subject_age,subject_race,subject_sex,type,arrest_made,contraband_found,frisk_performed,search_conducted,search_person,search_vehicle,raw_race,raw_individual_contraband,raw_vehicle_contraband
391174,1/28/2014,13:40:00,1000 BLOCK FRANKLIN MILLS CIR,8,83,26,white,male,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,White - Non-Latino,FALSE,FALSE
274387,1/28/2014,13:40:00,3000 BLOCK B ST,24,242,32,white,male,pedestrian,FALSE,NA,FALSE,FALSE,FALSE,FALSE,White - Non-Latino,FALSE,FALSE
274388,1/28/2014,13:40:00,3000 BLOCK B ST,24,242,46,white,male,pedestrian,FALSE,NA,FALSE,FALSE,FALSE,FALSE,White - Non-Latino,FALSE,FALSE
374175,1/28/2014,13:40:00,3500 BLOCK N 21ST ST,39,392,27,black,male,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
157141,1/28/2014,13:40:00,6500 BLOCK GRAYS AV,12,123,60,black,male,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
289071,1/28/2014,13:45:00,400 BLOCK W ALLEGHENY AV,25,253,41,hispanic,female,pedestrian,FALSE,NA,FALSE,FALSE,FALSE,FALSE,White - Latino,FALSE,FALSE
289070,1/28/2014,13:45:00,400 BLOCK W ALLEGHENY AV,25,253,55,hispanic,male,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,White - Latino,FALSE,FALSE
233322,1/28/2014,13:45:00,N 63RD ST / RACE ST,19,192,37,black,female,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
410750,1/28/2014,13:45:00,NA,35,351,21,black,male,pedestrian,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Black - Non-Latino,FALSE,FALSE
87962,1/28/2014,13:49:00,2900 BLOCK S SMEDLEY ST,1,12,31,white,male,pedestrian,FALSE,NA,FALSE,FALSE,FALSE,FALSE,White - Non-Latino,FALSE,FALSE
214497,1/28/2014,13:49:00,N 34TH ST / HAVERFORD AV,16,161,21,asian/pacific islander,female,vehicular,FALSE,NA,FALSE,FALSE,FALSE,FALSE,Asian,FALSE,FALSE
